source	Cornell - Companion planting	http://cceniagaracounty.org/wp-content/uploads/2014/02/companion-planting-info.pdf
tag	Aromatic herbs	Dill	Basil	Thyme	Rosemary	Summer savory	Catnip	Sage	Hyssop	Lovage	Mint	Coriander	Anise	Tarragon	Lemon balm
tag	Aromatic herbs except Dill	Basil	Thyme	Rosemary	Summer savory	Catnip	Sage	Hyssop	Lovage	Mint	Coriander	Anise	Tarragon	Lemon balm
tag	Beans	Bean	Broadbean	Pea	Soybean
page	name	scientific	companion_type	companion_name	companion_scientific	companion_effect	companion_info
4	Mint		help	Pea			
4	Mint		help	Tomato			
4	Mustard		help	Bean			
4	Mustard		help	fruit tree			
4	Mustard		help	Grape			
4	Nasturtiums		help	Cucumber			
4	Nasturtiums		help	Radish			
4	Onion		help		Beta vulgaris		
4	Onion		help	Cabbage			
4	Onion		help	Lettuce			
4	Onion		help	Strawberry			
4	Oregano		help	Pumpkin			
4	Pigweed		help	Corn			
4	Pigweed		help	Melon			
4	Rosemary		help	Bean			
4	Rue		help	Fig			
4	Sage		help	Cabbage			
4	Sage		help	Carrot			
4	Sage		help	Strawberry			
4	Sage		help	Tomato			
4	Sage		help	Marjoram			
4	Summer savory		help	Bean			
4	Summer savory		help	Onion			
4	Summer savory		help	Melon			
4	Sow thistle		help	Melon			
4	Tansy		help	Blackberry			
4	Tansy		help	Raspberry			
4	Tansy		help	Rose			
4	Tarragon		help	Most vegetables			
4	Thyme		help	Eggplant			
4	Thyme		help	Potato			
4	Thyme		help	Strawberry			
4	Thyme		help	Tomato			
4	Yarrow		help	Aromatic herbs			
5	Carrot		dislike	Anise			
5	Sugar maple		dislike	Aster			
5	Red pine		dislike	Aster			
5	Tulip poplar		dislike	Aster			
5	Black cherry		dislike	Aster			
5	Green alder		dislike	Balsam poplar			
5	Pole bean		dislike	Beets			
5	Red pine		dislike	Black cherry			
5	Red maple		dislike	Black cherry			
5	Pine (Austrian, red, Scotch, white); apple, white birch		dislike	Black walnut			
5	Strawberry		dislike	Cabbage			
5	Bean		dislike	Chive			
5	Pea		dislike	Chive			
5	Lettuce		dislike	Chrysanthemum			
5	Fennel		dislike	Coriander			
5	Carrot		dislike	Dill			
5	Tomato		dislike	Dill			
5	Bean		dislike	Fennel			
5	Pepper		dislike	Fennel			
5	Poplus sp.		dislike	Foxtail & Smooth broome			
5	Bean		dislike	Garlic			
5	Pea		dislike	Garlic			
5	Sugar maple		dislike	Golden rod			
5	Red pine		dislike	Golden rod			
5	Tulip poplar		dislike	Golden rod			
5	Black cherry		dislike	Golden rod			
5	Radish		dislike	Hyssop			
5	Azalea		dislike	Kentucky bluegrass			
5	Barberry		dislike	Kentucky bluegrass			
5	Taxus		dislike	Kentucky bluegrass			
5	Forsythia		dislike	Kentucky bluegrass			
5	Cornus sp.		dislike	Kentucky bluegrass			
5	Tomato		dislike	Kohlrabi			
5		Beta vulgaris	dislike	Larkspur			
5	Turnip		dislike	Mustard			
5	Bean		dislike	Onion			
5	Pea		dislike	Onion			
5	Sage		dislike	Onion			
5	Apple		dislike	Perennial rye			
5	Forsythia		dislike	Perennial rye			
5	Cornus sp.		dislike	Perennial rye			
5	Beets		dislike	Pole bean			
5	Pumpkin		dislike	Potato			
5	Squash		dislike	Potato			
# conflict: 5	Turnip		dislike	Potato			
5	Azalea		dislike	Red fescue			
5	Barberry		dislike	Red fescue			
5	Taxus		dislike	Red fescue			
5	Forsythia		dislike	Red fescue			
5	cornus sp.		dislike	Red fescue			
5	Douglas fir		dislike	Rhododendron			
5	Basil		dislike	Rue			
5	Cabbage		dislike	Rue			
5	Sage		dislike	Rue			
5	Onion		dislike	Sage			
5	Box elder		dislike	Sassafras			
5	Elm		dislike	Sassafras			
5	Silver maple		dislike	Sassafras			
5	Bean		dislike	Shallot			
5	Sweetgum		dislike	Southern red oak			
5	Yellow birch		dislike	Sugar maple			
5	White spruce		dislike	Sugar maple			
5	Douglas fir		dislike	Sumac			
5	Yellow birch		dislike	Sycamore maple			
5	Black walnut		dislike	Tall fescue			
5	Sweetgum		dislike	Tall fescue			
5	White ash		dislike	Tall fescue			
5	Collard		dislike	Tansy			
5	Kohlrabi		dislike	Tomato			
5	Most vegetables		dislike	Wormwood			
