source	Golden Harvest Organics	http://www.ghorganics.com/page2.html													
Bean		help	Strawberry													
Bean		help	Cucumber													
Bean		help	Grain													
Summer savory		help	Bean		repel	Bean Beetle										
Summer savory		help	Bean		improve	growth, flavor										
Bean		dislike		Allium												
#Bee BALM (Oswego, Monarda): Plant with tomato to improve growth and flavor. Great for attracting beneficials and bees of course. Pretty perennial that tends to get powdery mildew.																
Bee balm		help	Tomato		improve	growth, flavor										
#BeeT: Good for adding minerals to the soil. The leaves are composed of 25% magnesium making them a valuable addition to the compost pile if you don't care to eat them. Beets are also beneficial to beans with the exception of runner beans. Runner or pole beans and beets stunt each other's growth. Companions for beets are lettuce, onions and brassicas. Beets and kohlrabi grow perfectly together. Beets are helped by garlic and mints. Garlic improves growth and flavor. Rather than planting invasive mints around beets use your mint clippings as a mulch.
Beetroot		inhibit eachother	Pole bean													
Beetroot		like	Lettuce													
Beetroot		like	Onions													
Beetroot		like	Brassicas													
Beetroot		like eachother	Kohlrabi													
Garlic		help	Beetroot													
Mint		help	Beetroot													
#BORAGE: Companion plant for tomato, squash, strawberries and most plants. Deters Tomato Hornworm and Cabbage Worm. One of the best Bee and wasp attracting plants. Adds trace minerals to the soil and a good addition the compost pile. The leaves contain vitamin C and are rich in calcium, potassium and mineral salts. Borage may benefit any plant it is growing next to via increasing resistance to pests and disease. It also makes a nice mulch for most plants. Borage and strawberries help each other and strawberry farmers always set a few plants in their beds to enhance the fruits flavor and yield. Plant near tomato to improve growth and disease resistance. After you have planned this annual once it will self seed. Borage flowers are edible.																
Borage		help	Tomato													
Borage		help	Squash													
Borage		help	Strawberry		improve	flavor								
Borage		help	Strawberry		improve	pest resistance								
Borage		like	Strawberry													
Borage		help	Tomato		repel	Tomato Hornworm										
Borage		help	Brassicas		repel	Cabbage Worm										
#BROCCOLI: Companions for broccoli are: Basil, Bush Beans, Cucumber, Dill, Garlic, Hyssop, Lettuce, Marigold, Mint, Nasturtiums, Onion, Potato, Radish, Rosemary, Sage, Thyme and Tomato. Celery, onions and potato improve broccolis' flavor when planted near it. Broccoli loves plenty of calcium. Pairing it with plants that need little calcium is a good combination such as nasturtiums and Beets as this frees up the calcium in the soil for the broccoli. Put the nasturtiums right under the broccoli plants. Herbs such as rosemary, dill and sage help repel pests with their distinct aromas. Foes: Grapes, strawberries, mustards and rue.																
Broccoli		like	Basil													
Broccoli		like	Bush Beans													
Broccoli		like	Cucumber													
Broccoli		like	Dill													
Broccoli		like	Garlic													
Broccoli		like	Hyssop													
Broccoli		like	Lettuce													
Broccoli		like	Marigold													
Broccoli		like	Mint													
Broccoli		like	Nasturtiums													
Broccoli		like	Onion													
Broccoli		like	Potato													
Broccoli		like	Radish													
Broccoli		like	Rosemary													
Broccoli		like	Sage													
Broccoli		like	Thyme													
#conflict: Broccoli		like	Tomato													
Celery		help	Broccoli													
	Allium	help	Broccoli													
Potato		help	Broccoli		improve	flavor										
Broccoli		help	Nasturtiums													
Broccoli		help		Beta vulgaris												
Rosemary		help	Broccoli													
Dill		help	Broccoli		improve	pest_resistance										
Sage		help	Broccoli		improve	pest_resistance										
Broccoli		dislike eachother	Grape													
Broccoli		dislike eachother	Strawberry													
Broccoli		dislike eachother	Mustard plants													
Broccoli		dislike eachother	Rue													
#BUCKWHEAT: (Member of the family Polygonaceae) Accumulates calcium and can be grown as an excellent cover crop aka green manure. Buckwheat's shallow white blossoms attract beneficial Insects that control or parasitize Aphid, mites and other pests. The beneficials it attracts include the following: hover Fly (Syrphidae), predatory wasps, minute pirate Bug, insidious flower bug, tachnid fly and lady Beetle. Flowering may start within three weeks of planting and continue for up to 10 weeks. Buckwheat will take up phosphorus and some minor nutrients that are otherwise unavailable to plants. These nutrients are released as the residue of the buckwheat breaks down and are then available for later crops. The fine roots makes topsoil loose and friable with only minimal tillage.																
#CABBAGE: Celery, dill, onions and potato are good companion plants. Celery improves growth and health. Clover interplanted with cabbage has Been shown to reduce the Cabbage Aphid and Cabbage Worm populations by interfering with the colonization of the pests and increasing the number of predatory ground Beetle. Plant Chamomile with cabbage as it Improves growth and flavor. Cabbage does not get along with strawberries, tomato, peppers, eggplants, rue, grapes, lettuce and pole beans.																
Celery		help	Cabbage		improve	growth, health										
Cabbage		like	Dill													
Cabbage		like		Allium												
Cabbage		like	Potato													
Clover		help	Cabbage		repel	Cabbage Aphid, Cabbage Worm										
Chamomile		help	Cabbage		improve	growth, flavor										
Cabbage		dislike	Strawberry													
Cabbage		dislike	Tomato													
Cabbage		dislike	Bell pepper													
Cabbage		dislike	Eggplant													
Cabbage		dislike	Rue													
Cabbage		dislike	Grape													
Cabbage		dislike	Lettuce													
Cabbage		dislike	Pole bean													
#CARAWAY: Good for loosening compacted soil with it's deep roots so it's also compatible next to shallow rooted crops. Plant it with strawberries. Caraway can be tricky to establish. The flowers attract a number of beneficial Insects especially the tiny parasitic wasps. Keep it away from dill and fennel.																
Caraway		like eachother	Strawberry													
Caraway		dislike eachother	Dill													
Caraway		dislike eachother	Fennel													
#CARROTS: Their pals are chives, leaf lettuce, leeks, marigolds, onions, parsley, radish, salisfy and tomato. Plant dill, fennel, kohlrabi and parsnips away from carrots. Sow leeks and carrots in the same row for protection against Carrot Fly. Then harvest the carrots and leave the leeks to mature for later. For onions and carrots plant them in separate rows next to each other to repel carrots fly. Flax produces an oil that may protect root vegetables like carrots from some pests. One drawback with tomato and carrots: tomato plants can stunt the growth of your carrots but the carrots will still be of good flavor.
Carrot		like	Chive													
Carrot		like	Lettuce													
Carrot		like	Leek													
Carrot		like	Marigold													
Carrot		like	Parsley													
Carrot		like	Radish													
Carrot		like	Salisfy													
Carrot		like	Tomato													
Carrot		dislike	Dill													
Carrot		dislike	Fennel													
Carrot		dislike	Kohlrabi													
Carrot		dislike	Parsnip													
	Allium	help	Carrot		repel	Carrot Fly										
Flax		help	Carrot		improve	pest_resistance										
#CATNIP: Deters flea Beetle, Aphid, Japanese Beetle, Squash Bug, ants and weevils. Fresh catnip steeped in water and sprinkled on plants will drive away flea beetle.																
Catnip		help	Squash		repel	Squash Bug										
#CELERY: Companions: Bean, cabbage family, leek, onion, spinach and tomato. Flowers for celery: cosmos, daisies and snapdragons. Foes: Corn, Irish potato and aster flowers. Carrots can be infected with Aster Yellow disease from asters. Grow celery in alternate rows with leeks. The cabbage White Butterfly is repelled by the scent of celery so is a benefit to all members of the cabbage family while also improving health and flavor.																
Celery		like	Bean													
Celery		help		Brassica	improve	health, flavor										
Celery		help		Brassica	repel	Cabbage Butterfly										
Celery		like	Leek													
Celery		like	Onion													
Celery		like	Spinach													
Celery		like	Tomato													
Celery		like	Cosmo													
Celery		like	Daisy													
Celery		like	Snapdragon													
Celery		dislike	Corn													
Celery		dislike	Potato													
Celery		dislike		Asteraceae	attract	Aster Yellow										
#CHAMOMILE, GERMAN: Annual. Improves flavor of cabbages, cucumbers and onions. Host to hoverflies and wasps. Accumulates calcium, potassium and sulfur, later returning them to the soil. Increases oil production from herbs. Leave some flowers unpicked and German chamomile will reseed itself. Roman chamomile is a low growing perennial that will tolerate almost any soil conditions. Both like full sun. Growing chamomile of any type is considered a tonic for anything you grow in the garden.																
Chamomile		help	Cabbage		improve	flavor										
Chamomile		help	Cucumber		improve	flavor										
Chamomile		help	Onion		improve	flavor										
#CHARDS: Companions: Bean, cabbage family, tomato, onion and roses. Don't overlook chard's value as an ornamental plant in flower beds or wherever you have room for it. Don't grow chard near cucurbits, melons, corn or herbs.																
Chard		like	Bean													
Chard		like		Brassica												
Chard		like	Tomato													
Chard		like	Onion													
Chard		like	Rose													
Chard		dislike		Cucurbitaceae												
Chard		dislike	Corn													
Chard		dislike	Aromatic herbs													
#CHERVIL: Companion to radishes, lettuce and broccoli for improved growth and flavor. Keeps Aphid off lettuce. Said to deter slugs. Likes shade.																
Chervil		help	Radish		improve	growth, flavor										
Chervil		help	Lettuce		improve	growth, flavor										
Chervil		help	Broccoli		improve	growth, flavor										
Chervil		help	Lettuce		repel	Aphid										
#CHIVES: Improves growth and flavor of carrots and tomato. A friend to apples, carrots, tomato, brassica (broccoli, cabbage, mustard, etc) and many others. Help to keep Aphid away from tomato, mums and sunflowers. Chives may drive away Japanese Beetle and Carrot Rust Fly. Planted among apple trees it helps prevent Scab and among roses it prevents black spot. You will need patience as it takes about 3 years for plantings of chives to prevent the 2 diseases. A tea of chives may be used on cucumbers and gooseberries to prevent downy and powdery mildews. Avoid planting near beans and peas. See chive tea on disease page.																
Chive		help	Tomato		improve	growth, flavor										
Chive		help	Carrot		improve	growth, flavor										
Chive		help	Apple													
Chive		help	Brassicas													
Chive		help	Tomato		repel	Aphid										
Chive		help	Mum		repel	Aphid										
Chive		help	Sunflower		repel	Aphid										
Chive		help	Carrot		repel	Carrot Fly										
Chive		help	Apple		repel	Scab										
Chive		help	Rose		repel	black spot										
Chive		dislike eachother	Beans family													
#CHRYSANTHEMUMS: C. coccineum kills root Nematodes. (the bad ones) It's flowers along with those of C. cineraruaefolium have Been used as botanical pesticides for centuries. (i.e. pyrethrum) White flowering chrysanthemums repel Japanese Beetle. To the right is a picture of the painted daisy from which pyrethrum is extracted.																
#CLOVER: Long used as a green manure and plant companion and is especially good to plant under grapevines. Attracts many beneficials. Useful planted around apple trees to attract predators of the woolly Aphid. Clover interplanted with cabbage has Been shown to reduce the Cabbage Aphid and Cabbage Worm populations by interfering with the colonization of the pests and increasing the number of predator ground Beetle.																
Clover		help	Grape													
Clover		help	Apple		attract	Predators Of Woolly Aphid										
Clover		help	Cabbage		repel	Cabbage Aphid, Cabbage Worm										
#COLLARD GREENS: You can plant them with: Basil, Bean, Cucumber, Dill, Garlic, Hyssop, Lettuce, Marigold, Mint, Nasturtiums, Onion, Potato, Radish, Rosemary, Sage and Thyme. Keep them away from Grapes, Rue and Tansy.																
Collard greens		like	Basil													
Collard greens		like	Bean													
Collard greens		like	Cucumber													
Collard greens		like	Dill													
Collard greens		like	Garlic													
Collard greens		like	Hyssop													
Collard greens		like	Lettuce													
Collard greens		like	Marigold													
Collard greens		like	Mint													
Collard greens		like	Nasturtiums													
Collard greens		like	Onion													
Collard greens		like	Potato													
Collard greens		like	Radish													
Collard greens		like	Rosemary													
Collard greens		like	Sage													
Collard greens		like	Thyme													
Collard greens		dislike	Grape													
Collard greens		dislike	Rue													
Collard greens		dislike	Tansy.													
#COMFREY: This is one amazing plant. Accumulates calcium, phosphorous and potassium. Likes wet spots to grow in. Comfrey is beneficial to avocado and most other fruit trees. Traditional medicinal plant. Good trap crop for slugs. Excellent compost activator, foliage spray, nutrient miner. Comfrey is truly essential to all gardens. More on comfrey.																
Comfrey		help	Fruit trees													
#CORIANDER (Cilantro, Chinese Parsley etc.): The leaves of this plant are Cilantro. When left to flower and go to seed the dried tan seeds are Coriander, a familiar spice. It is a member of the carrot family. Repels harmful Insects such as Aphid, spider mites and Potato Beetle. Coriander growing between rows of carrots and cabbage will protect them from pests. A tea from this can be used as a spray for spider mites. Partners for coriander are anise, caraway, potato, radish, spinach and dill. Enemy: Coriander will Wilt if fennel is planted next to it and will prevent fennel from forming seed.																
Coriander		help	Potato		repel	Colorado Bug										
Coriander		help	Carrot		improve	pest_resistance										
Coriander		help	Cabbage		improve	pest_resistance										
Coriander		like eachother	Anise													
Coriander		like eachother	Caraway													
Coriander		like eachother	Potato													
Coriander		like eachother	Radish													
Coriander		like eachother	Spinach													
Coriander		like eachother	Dill													
Coriander		dislike eachother	Fennel													
#CORN: Amaranth, beans, cucumber, white geranium, lamb's quarters, melons, morning glory, parsley, peanuts, peas, potato, pumpkin, soybeans, squash and sunflower. A classic example is to grow climbing beans up corn while inter-planting pumpkins. The corn provides a natural trellis for the beans, pumpkins smother the weeds and helps corn roots retain moisture. Corn is a heavy feeder and the beans fix nitrogen from air into the soil however the beans do not feed the corn while it is growing. When the bean plants die back they return nitrogen to the soil that was used up by the corn. A win-win situation. Another interesting helper for corn is the weed Pig's Thistle which raises nutrients from the subsoil to where the corn can reach them. Keep corn away from celery and tomato plants by at least 20 feet.																
Corn		like eachother	Amaranth													
Corn		like eachother	Bean													
Corn		like eachother	White geranium													
Corn		like eachother	Lamb's quarter													
Corn		like eachother	Morning glory													
Corn		like eachother	Parsley													
Corn		like eachother	Peanut													
Corn		like eachother	Pea													
Corn		like eachother	Potato													
Corn		like eachother	Soybean													
Corn		like eachother		Cucurbitaceae												
Corn		like eachother	Sunflower													
Weed pig's thistle		help	Corn													
Corn		dislike eachother	Celery													
Corn		dislike eachother	Tomato													
#COSTMARY: This 2-3 foot tall perennial of the chrysanthemum family helps to repel moth.																
#CUCUMBERS: Cucumbers are great to plant with corn and beans. The three plants like the same conditions: warmth, rich soil and plenty of moisture. Let the cucumbers grow up and over your corn plants. Cukes also do well with peas, Beets, radishes and carrots. Radishes are a good deterrent against Cucumber Beetle. Dill planted with cucumbers helps by attracting beneficial predators. Nasturtiums improves growth and flavor. Keep sage, potato and rue away from cucumbers. It is said that cucumbers don't do well planted next to tomato. We have never had a problem with planting them next to each other.																
Cucumber		like eachother	Corn													
Cucumber		like eachother	Bean													
Cucumber		like	Pea													
Cucumber		like	Beetroot													
Radish		help	Cucumber		repel	Cucumber Beetle										
Cucumber		like	Carrot													
Dill		help	Cucumber		improve	pest_resistance										
Nasturtiums		help	Cucumber		improve	growth, flavor										
Cucumber		dislike	Sage													
Cucumber		dislike	Potato													
Cucumber		dislike	Rue													
Cucumber		dislike	Tomato													
#DAHLIAS: These beautiful, tuberous annuals that can have up to dinner plate size flowers repel Nematodes! 																
#DILL: Improves growth and health of cabbage. Do not plant near carrots, caraway, lavendar or tomato. Best friend for lettuce. The flower heads of dill are one of the best nectar sources for beneficial Insects in the garden attracting hoverflies, predatory wasps and many more. Repels Aphid and spider mites to some degree. Also may repel the dreaded Squash Bug! (scatter some good size dill leaves on plants that are subject to squash bug, like squash plants.) Dill goes well with lettuce, onions, cabbage, sweet corn and cucumbers. Dill does attract the Tomato Hornworm so it would be wise to plant it somewhere away from your tomato plants. Do plant dill in an appropriate spot for the swallowtail butterFly Caterpillars to feed on. Even their caterpillars are beautiful.																
Dill		help	Cabbage		improve	growth, health										
Dill		dislike eachother	Carrot													
Dill		dislike eachother	Caraway													
Dill		dislike eachother	Lavendar													
Tomato		dislike	Dill		attract	Tomato Hornworm										
Dill		like	Lettuce													
Dill		like	Onion													
Dill		like	Corn													
Dill		like	Cucumber													
#EGGPLANT: Plant with amaranth, bush beans, pole beans, peas, spinach, tarragon, thyme and marigold. Growing eggplants among bush beans protects from attacks of the Colorado Potato Beetle. Eggplant is a member of the nightshade family and does well with peppers as they like the same growing conditions.																
Eggplant		like	Amaranth													
Bush bean		help	Eggplant		repel	Colorado Bug										
Eggplant		like	Pole bean													
Eggplant		like	Pea													
Eggplant		like	Spinach													
Eggplant		like	Tarragon													
Eggplant		like	Thyme													
Eggplant		like	Marigold													
Eggplant		like		Capsicum annuum												
#ELDERBERRY: A spray (see insect treatments) made from the leaves can be used against Aphid, Carrot Root Fly, Cucumber Beetle and peach tree Borer. Put branches and leaves in mole runs to banish them. Elderberry leaves added to the compost pile speeds up the decomposing process.																
#FENNEL: Fennel is not friendly and is allelopathic to most garden plants, inhibiting growth or causing them to bolt. It actually kills many plants. Dill is the only thing you can plant with fennel. Other than that plant it by itself. On a positive note the foliage and flowers attract beneficials such as ladyBugs, syrphid Fly, tachninid fly, beneficial parasitoid wasps and hoverflies Fennel is a good flea repellent. An old saying says to "plant fennel near your kennel" to deter fleas. Dried fennel leaves provide additional flea repelling insurance when put inside the dog house or kennel.																
Fennel		inhibit		Fabaceae												
Fennel		inhibit		Solanaceae												
#FLAX: Plant with carrots, and potato. Flax contains tannin and linseed oils which may offend the Colorado potato Bug. Flax is an annual from 1-4 feet tall with blue or white flowers that readily self sows.																
Flax		like	Carrot													
Flax		help	Potato		repel	Colorado Bug										
#FOUR-O'CLOCKS: Draws Japanese Beetle like a magnet which then dine on the foliage. The foliage is pure poison to them and they won't live to have dessert! It is important to mention that Four O'clock are also poisonous to humans and animals. Please be careful where you plant them if you have children and pets. They are a beautiful annual plant growing from 2-3 feet high with a bushy growth form.																
#GARLIC: Plant near roses to repel Aphid. It also benefits apple trees, pear trees, cucumbers, peas, lettuce and celery. Plant under peach trees to help repel Borer. Garlic accumulates sulfur: a naturally occurring fungicide which will help in the garden with disease prevention. Garlic is systemic in action as it is taken up by the plants through their pores and when garlic tea is used as a soil drench it is also taken up by the plant roots. It has value in offending Codling Moth, Japanese Beetle, root maggots, snails, and Carrot Root Fly. Researchers have observed that time-released garlic capsules planted at the bases of fruit trees actually kept deer away. It's certainly worth a try! Concentrated garlic sprays have been observed to repel and kill whiteflies, aphid and fungus gnats among others with as little as a 6-8% concentration! It is safe for use on orchids too. 																
Garlic		help	Rose		repel	Aphid										
Garlic		help	Apple													
Garlic		help	Pear		repel	Borer										
Garlic		help	Cucumber													
Garlic		help	Lettuce													
Garlic		help	Celery													
Garlic		help	Carrot		repel	Carrot Fly										
#GERANIUM: -Repels Cabbage Worm and Japanese Beetle, plant around grapes, roses, corn, tomato, peppers and cabbage. Geraniums help to distract beet leafhoppers, carrier of the curly top virus.																
Geranium		help	Cabbage		repel	Cabbage Worm										
Geranium		like eachother	Grape													
Geranium		like eachother	Rose													
Geranium		like eachother	Corn													
Geranium		like eachother	Tomato													
Geranium		like eachother		Capsicum annuum												
#GLADIOLUS: Avoid growing gladiolus near be an, clover, cucumber, melon, or tomato.																
Gladiolus		dislike eachother	Bean													
Gladiolus		dislike eachother	Clover													
Gladiolus		dislike eachother	Cucumber													
Gladiolus		dislike eachother	Melon													
Gladiolus		dislike eachother	Tomato													
#GOPHER PURGE: Deters gophers, and moles.																
#GRAPES: Hyssop is beneficial to grapes as are basil, beans, geraniums, oregano, clover, peas, blackberries and mustards. Keep radishes and cabbage away from grapes. Planting clover as a groundcover under the vines increases the soil fertility for grapes. Chives with grapes help repel Aphid. Plant your vines under Elm or Mulberry trees.																
Grape		like	Hyssop													
Grape		like	Basil													
Grape		like	Bean													
Grape		like	Geranium													
Grape		like	Oregano													
Clover		help	Grape		improve	soil fertility										
Grape		like	Pea													
Grape		like	Blackberry													
Grape		like	Mustard plants													
Grape		dislike	Radish													
Grape		dislike	Cabbage													
Grape		like	Clover													
Chive		help	Grape		repel	Aphid										
#HEMP: Repels many types of Beetle which attack brassicas.																
Hemp		help	Brassicas		repel	Beetle										
#HORSERADISH: Plant in containers in the potato patch to keep away Colorado potato Bug. Horseradish increases the disease resistance of potato. There are some very effective insect sprays that can be made with the root. Use the bottomless pot method to keep horseradish contained. Also repels Blister Beetle. We have observed that the root can yield anti-fungal properties when a tea is made from it. (See: Horseradish: Disease)																
Horseradish		help	Potato		repel	Colorado Bug										
Horseradish		help	Potato		improve	pest resistance										
#HOREHOUND: (Marrubium Vulgare) like many varieties in the mint family, the many tiny flowers attract Braconid and Icheumonid wasps, and Tachnid and Syrid Fly. The larval forms of these Insects parasitize or otherwise consume many other insects pests. It grows where many others fail to thrive and can survive harsh winters. Blooms over a long season, attracting beneficial insects almost as long as you are likely to need them. For best results use horehound directly as a companion plant. Stimulates and aids fruiting in tomato and peppers.																
#HYSSOP: Companion plant to cabbage and grapes, deters Cabbage Moth and flea Beetle. Do not plant near radishes. Hyssop may be the number one preference among bees and some beekeepers rub the hive with it to encourage the bees to keep to their home. It is not as invasive as other members of the mint family making it safer for interplanting.																
Hyssop		help	Cabbage		repel	Cabbage Moth										
Hyssop		help	Grape													
Hyssop		dislike eachother	Radish													
#KALE: Kale descended from wild cabbage that was grown in Turkey previously known as Asia Minor. Some of the more modern varieties of kale are sweeter than the older versions yet retain all the nutrients of it's ancestors. Kale companions are Beets, cabbage, celery, cucumbers, dill, marigolds, onions, nasturtiums and spinach. Keep kale away from grapes, beans, strawberries, tomato and rue.																
Kale		like eachother	Beetroot													
Kale		like eachother	Cabbage													
Kale		like eachother	Celery													
Kale		like eachother	Cucumber													
Kale		like eachother	Dill													
Kale		like eachother	Marigold													
Kale		like eachother	Onion													
Kale		like eachother	Nasturtiums													
Kale		like eachother	Spinach													
Kale		dislike eachother	Grape													
#conflict: Kale		dislike eachother	Bean													
Kale		dislike eachother	Strawberry													
Kale		dislike eachother	Tomato													
Kale		dislike eachother	Rue													
#KELP: When used in a powder mixture or tea as a spray, this versatile sea herb will not only repel Insects but feed the vegetables. In particular we have observed that kelp foliar sprays keep Aphid and Japanese Beetle away when used as a spray every 8 days before and during infestation times. If you have access to seaweed, use it as a mulch to keep slugs away.																
#KOHLRABI: May be planted with Beets cucumber, mint, onion, oregano, sage, chives and thyme. Kohlrabi and beets are perfect to grow with one another as beets form in the soil and Kohlrabi makes it's bulb above the soil! Do not plant kohlrabi with pole beans, pepper, strawberry or tomato.																
Kohlrabi		like	Cucumber													
Kohlrabi		like	Mint													
Kohlrabi		like	Onion													
Kohlrabi		like	Oregano													
Kohlrabi		like	Sage													
Kohlrabi		like	Chive													
Kohlrabi		like	Thyme													
Kohlrabi		like eachother	Beetroot													
Kohlrabi		dislike	Pole bean													
Kohlrabi		dislike		Capsicum annuum												
Kohlrabi		dislike	Strawberry													
Kohlrabi		dislike	Tomato													
#LAMIUM: This will repel potato Bug- a big problem for many gardeners!																
#LARKSPUR: An annual member of the Delphinium family, larkspur will attract Japanese Beetle. They dine and die! Larkspur is poisonous to humans too.																
#LAVENDER: Repels fleas and moth. Prolific flowering lavender nourishes many nectar feeding and beneficial Insects. Lavenders can protect nearby plants from insects such as whiteFly, and lavender planted under and near fruit trees can deter Codling Moth. Use dried sprigs of lavender to repel moth. Start plants in winter from cuttings, setting out in spring.																
#LEEKS: Use leeks near apple trees, carrots, celery and onions which will improve their growth. Leeks also repel Carrot Fly. Avoid planting near legumes.																
Leek		like	Apple													
Leek		like	Carrot													
Leek		like	Celery													
Leek		like		Allium												
Leek		dislike	Legumes													
#LEMON BALM: Sprinkle throughout the garden in an herbal powder mixture to deter many Bug. Lemon balm has citronella compounds that make this work: crush and rub the leaves on your skin to keep Mosquitoes away! Use to ward off Squash Bug!																
Lemon balm		help	Squash		repel	Squash Bug										
#LETTUCE: Does well with Beets, broccoli, bush beans, pole beans, carrots, cucumbers, onion, radish and strawberries. It grows happily in the shade under young sunflowers. Dill and lettuce are a perfect pair. Keep lettuce away from cabbage. Cabbage is a deterrent to the growth and flavor of lettuce.																
Lettuce		like	Beetroot													
Lettuce		like	Broccoli													
Lettuce		like	Bush bean													
Lettuce		like	Pole bean													
Lettuce		like	Carrot													
Lettuce		like	Cucumber													
Lettuce		like	Onion													
Lettuce		like	Radish													
Lettuce		like	Strawberry													
Lettuce		like	Sunflower													
Lettuce		like eachother	Dill													
Cabbage		inhibit	Lettuce													
#LOVAGE: Improves flavor and health of most plants. Good habitat for ground Beetle. A large plant, use one planted as a backdrop. Similar to celery in flavor.																
#MARIGOLDS: (Calendula): Given a lot of credit as a pest deterrent. Keeps soil free of bad Nematodes; supposed to discourage many Insects. Plant freely throughout the garden. The marigolds you choose must be a scented variety for them to work. One down side is that marigolds do attract spider mites and slugs.																
#French Marigold (T. patula) has roots that exude a substance which spreads in their immediate vicinity killing Nematodes. For nematode control you want to plant dense areas of them. There have Been some studies done that proved this nematode killing effect lasted for several years after the plants died back. These marigolds also help to deter whiteflies when planted around tomato and can be used in greenhouses for the same purpose. Whiteflies hate the smell of marigolds. Do not plant French marigolds next to bean plants.																
#Mexican marigold (T. minuta) is the most powerful of the insect repelling marigolds and may also overwhelm weed roots such as bind weed! It is said to repel the Mexican Bean Beetle and wild bunnies! Be careful it can have an herbicidal effect on some plants like beans and cabbage. 																
#MARJORAM: As a companion plant it improves the flavor of vegetables and herbs. Marjoram will increase yields of beans, asparagus, chives, eggplants, pumpkin, squash and cucumbers. Sweet marjoram is the most commonly grown type. 																
Marjoram		help	Bean													
Marjoram		help	Asparagus													
Marjoram		help	Chive													
Marjoram		help	Eggplant													
Marjoram		help	Pumpkin													
Marjoram		help	Squash													
Marjoram		help	Cucumber													
#MELONS: Companions: Corn, pumpkin, radish and squash. Other suggested helpers for melons are as follows: Marigold deters Beetle, nasturtium deters Bug and beetle. Oregano provides general pest protection.
Melon		like	Corn													
Melon		like	Pumpkin													
Melon		like	Radish													
Melon		like	Squash													
Marigold		help	Melon		repel	Beetle										
Nasturtiums		help	Melon		repel	Bug, Beetle										
Oregano		help	Melon		improve	pest_resistance										
